<EOS>	 0.0661791 0.689383 0.297868 0.817179 -0.36883 0.647151 0.605329 -0.21095 0.664195 0.0155252 0.47641 0.173931 0.659896 -0.478341 0.159323 -0.117812 -0.411678 -0.56129 -0.0916278 -0.0702721 0.228512 0.339109 -0.313059 0.630119 0.277764 0.209003 0.38915 0.236611 0.072076 0.057032 -0.589724 0.0640916 -0.239176 0.35044 0.834908 0.0432185 0.419985 0.0931471 -0.168391 0.221349 0.197273 -0.104286 0.216293 0.103254 0.533766 -0.248857 0.713405 0.581634 0.481443 -0.209192 -0.238102 -0.112364 0.149605 -0.267311 0.269162 0.114074 0.350757 -0.834132 0.099324 -0.43776 -0.620239 0.0479161 -0.172259 -0.149149 0.330124 0.0102387 -0.43037 0.163602 -0.586435 0.342234 -0.0739827 0.216028 -0.0652286 -0.98529 0.211078 -0.483471 0.0547267 -0.105625 0.648775 -0.118819 0.251389 -0.0444254 0.700228 -0.444034 -0.217689 -0.572297 -0.0612653 0.172515 -0.0904248 0.443104 0.403133 0.29228 -0.145694 0.361833 -0.122138 0.509996 0.0382235 0.0526724 -0.531302 -0.525144 0.183196 0.982819 0.299105 -0.0353019 -0.659892 1.08353 0.50296 1.2104 -0.483002 -0.327952 -0.176811 0.00973933 0.606426 -0.0548135 0.213027 0.490716 0.0672612 0.220224 0.174547 0.180033 0.090324 0.539995 0.280994 0.851905 -0.0923915 -0.102823 -0.15019 0.487176
<UNK>	 0.00386254 0.00851789 0.00201557 0.00276556 0.00545522 0.00401593 0.000406369 0.00360961 0.00611811 0.00284022 0.00250538 9.99692e-05 0.00131053 0.0068255 0.0051352 0.00787893 0.000275527 0.00350524 0.00819167 0.00829578 0.00462994 0.00417934 0.00448157 0.00479381 0.00531993 0.00578832 0.00326896 0.00916628 0.000354611 0.00437658 0.00183885 0.0057977 0.0042342 0.00464777 0.0023155 0.000761771 0.00688099 0.0078698 0.000564297 0.000630714 0.00303677 0.00708041 0.00200363 0.000969035 0.00649992 0.00197946 0.00835629 0.0035185 0.00900957 0.00516426 0.00392636 0.00617212 0.0019491 0.00307586 0.00568034 0.00757077 0.00521255 0.000350729 0.00201461 0.00399297 0.0021009 0.00398769 0.00196536 0.00179726 0.00225423 0.00637999 0.00904556 0.00163839 0.00169015 0.00164917 0.00463385 0.00486908 0.00407953 0.00167587 0.0056464 0.00805699 0.00144977 0.00594871 0.00552929 0.00488268 0.00242596 0.00104096 0.00799271 0.00297925 0.00520876 0.00742037 0.00913835 0.00398285 0.00065717 0.0073894 0.00704817 0.00327939 0.00609743 0.00708055 0.00215037 0.00669854 0.00408238 0.00637693 0.00361499 0.00895199 0.00451728 0.00126308 0.00328262 0.00280461 5.72401e-05 0.00831694 0.000149962 0.00648487 0.00589394 0.00308648 0.00291896 0.00213943 0.00781045 0.00843717 0.000440562 0.00080624 0.00581521 0.0029478 0.00216938 0.00518646 0.00723697 0.00265289 0.00420092 0.00622317 0.000576631 0.0090305 0.00217583 0.00590593
to	 -0.0303112 0.0453808 -0.0570332 0.0865818 0.00381962 0.185362 -0.00857737 -0.0178875 0.0719447 0.0988285 -0.0143543 0.0762747 0.0322624 -0.00110921 -0.0366054 -0.053319 -0.0469634 -0.00173974 0.0587753 -0.00730315 0.0159123 0.0751666 0.0188829 0.060313 0.0405402 0.0547124 0.121871 0.00412692 0.0425512 -0.0287726 -0.100487 0.030921 -0.0413027 -0.0296307 0.110173 0.0195591 0.0256717 0.0298694 -0.0084126 0.0217226 -0.0188036 0.0204495 -0.022658 -0.0475027 -0.000662382 0.00322412 0.0902433 0.0464713 0.0485683 -0.0019074 0.0574469 -0.0655518 -0.0210163 -0.128757 0.0169885 -0.0169622 0.0455439 -0.0987517 0.0413276 0.0344038 -0.0740989 0.0614781 -0.0667586 -0.0482646 0.0377652 0.0344319 -0.0166183 0.0232485 -0.0835469 -0.00279648 -0.00916931 0.0400662 0.107948 -0.0848 -0.0239278 -0.0594307 -0.000265587 -0.139924 0.094052 -0.0679391 0.056782 -0.00833713 -0.013738 0.00939799 0.053835 0.0307866 -0.0125786 0.0236411 -0.000262079 0.028363 0.072292 0.119354 0.0772677 0.0069625 -0.0275018 0.0413247 0.0465653 -0.0296603 -0.0404266 -0.0228614 0.0243703 0.133615 0.0975813 0.0518967 -0.10584 0.125626 0.0174444 0.116093 -0.106904 0.0234828 -0.0410359 0.0728432 0.0538418 0.0520321 0.0921584 0.106391 -0.0290729 -0.0403661 -0.0863377 0.0554701 0.0508564 0.0508747 0.0246005 0.103882 0.0130632 0.0486461 0.0398955 0.0604553
how	 -0.0773325 -0.0641643 -0.145109 -0.0496343 0.124692 -0.12832 0.112506 -0.119937 -0.136783 0.0924524 0.164485 0.264407 -0.0124102 0.273248 -0.0879215 -0.0327294 0.0449884 0.132782 0.115646 -0.0410155 -0.0126545 -0.0460985 0.13752 0.0450466 -0.0108073 0.0682107 0.167478 0.000672711 -0.0384368 -0.160788 -0.0723453 -0.0430812 -0.0565994 0.0402293 -0.229957 -0.00666794 -0.0941603 0.0467319 0.041665 0.251358 0.0239671 0.266746 0.0780572 -0.13449 -0.232641 0.0414636 0.0259263 0.00805023 0.0780326 -0.0143203 -0.0298107 0.0358781 -0.00469083 0.223501 -0.0738198 0.230798 0.0763773 0.176275 0.212844 0.124736 0.283045 0.251511 0.179992 0.159749 0.0125756 -0.168333 0.146007 -0.186642 -0.20787 0.0653964 0.169944 0.0349893 0.442872 0.195788 -0.214236 0.0251549 0.145235 0.191884 0.270964 0.0242364 0.0274339 0.185883 -0.0584532 0.15637 0.214539 -0.128013 0.114029 0.0275932 0.162526 -0.142742 0.0135514 0.0438277 -0.323554 0.0588023 -0.164484 -0.0731473 0.11646 0.0458361 0.0296405 0.0657208 0.345582 -0.0288003 -0.0878718 0.170233 0.112668 -0.279344 0.0480067 0.0473637 -0.290858 0.118831 -0.0681268 -0.135148 0.261894 0.0611783 -0.00801521 -0.0524049 -0.0169926 0.00424592 -0.0228962 -0.0883854 0.00806308 -0.12278 -0.167531 0.0203733 0.0477009 0.310089 0.124045 -0.19903
the	 -0.0161322 -0.00770654 -0.016297 0.0207568 0.0267642 0.0227563 0.0182632 -0.0142376 -0.0186548 0.013913 0.00119773 0.0543559 -0.00527621 0.0423482 0.00152654 -0.0170875 0.00311245 0.0111069 0.0300455 -0.00399996 2.52034e-05 0.00139792 0.0287051 0.00219628 0.0115468 0.0169739 0.041608 -0.00367017 -0.00307952 -0.0271054 -0.0216583 0.00596117 0.00752627 -0.00771499 -0.00262883 -0.00461552 0.000121051 0.0126346 0.0162792 0.0267949 0.0125236 0.0197859 0.0031152 -0.0242517 -0.0383096 0.00246376 0.0152739 -0.00400472 0.0140844 -0.0163653 0.0101722 -0.0182546 -0.00931881 -0.00553478 -0.00407535 0.0190951 0.0212877 0.0192289 0.0249685 0.0315155 0.034483 0.0360053 0.0119501 0.0176279 0.0151697 -0.0110127 0.0229362 -0.00161171 -0.0329133 0.00529613 0.0252677 0.0105584 0.0776127 0.0201467 -0.0251545 -0.00795836 0.00239791 -0.00796523 0.0285542 -0.0190191 0.0189979 0.0173422 -0.0284164 0.0209351 0.0322737 0.00283974 0.008479 0.0236169 0.0191354 -0.0196403 0.0168937 0.0365047 -0.00627502 0.0128795 -0.0197427 -0.00933991 0.01784 0.00500494 0.00545971 0.00387689 0.0441737 0.0276386 0.010828 0.0323651 -0.00262642 -0.0156868 -0.00558492 0.0344044 -0.0581243 0.0313778 -0.0271661 0.00267428 0.0345612 0.0122521 0.0235885 0.0111215 -0.0122627 -0.00672753 -0.0176934 0.00830204 0.0113054 0.00159428 -0.0180523 0.0283578 0.00491733 0.0361241 0.0168927 -0.0121342
in	 0.00575257 0.0221963 0.00405611 0.0624734 0.00272753 0.070429 0.0136877 -0.0181134 0.0361309 0.0110692 0.0048549 0.029097 0.0343186 -0.0149753 0.00674455 -0.0176474 -0.0236553 -0.0123629 0.0131914 0.0102066 0.0304067 0.0380088 -0.00358698 0.0191937 0.0254842 0.0108873 0.0297738 0.022481 0.00948667 -0.000188527 -0.0358435 0.026609 -0.0164159 0.00307256 0.0522893 0.0104009 0.025989 0.0113663 0.000431702 0.00170109 0.0266308 -0.00779019 0.00974115 0.00266105 0.0231736 0.00193954 0.0438337 0.0206698 0.0222966 -0.0093784 0.00613721 -0.0224053 -0.00806462 -0.0347311 -0.00284875 -0.00174152 0.029128 -0.0551955 0.00524556 0.0152488 -0.0364833 -0.00505487 -0.0158845 -0.00673135 0.0176506 0.00830923 -0.0022056 0.025262 -0.0310049 0.00522301 0.0202826 0.0122799 0.0200349 -0.0393789 0.00519484 -0.0328326 0.00323631 -0.0365678 0.0167357 -0.0138251 0.0220335 0.00926616 0.0154067 0.00602756 0.00527183 -0.00059885 -0.00196269 0.0178578 -0.0100893 0.0102597 0.00519247 0.0458268 0.0448535 0.0103996 0.00095413 0.0202258 0.00475074 -0.000869213 -0.0213981 -0.0270854 -0.0109328 0.0652632 0.0281175 0.0102398 -0.0344329 0.0676491 0.0109183 0.0643964 -0.0388111 0.00328086 -0.0191687 0.0190887 0.0438912 0.0137712 0.0162888 0.0290884 -0.00666184 -0.00815317 -0.0184235 0.0176832 0.0130352 0.0273642 0.0161946 0.0470806 0.0104814 -0.00886611 0.0157157 0.0408542
of	 -0.0162958 -0.000130257 -0.0073079 0.0523184 -0.00320231 0.0730027 -0.0211609 0.00946362 0.0561189 0.0140153 -0.0196391 0.0159081 0.0119735 0.00349747 -0.0138122 -0.0222778 -0.0177149 -0.0104566 0.0142904 0.00370063 0.00406453 0.00413685 -0.000774668 0.00265788 0.0189728 0.0113324 0.038266 0.0201844 1.07723e-05 0.00889562 0.00238502 0.0274626 -0.0107391 -0.0159588 0.0655197 -0.00544892 0.00876982 -0.00699937 0.00129869 -0.0138469 0.010657 -0.00777054 0.0016252 -0.0114927 -0.00454326 0.00142431 0.0386856 0.0282635 0.0139066 -0.0159364 0.0239813 -0.0356118 -0.00638838 -0.0328426 -0.0264959 -0.0218894 0.00271937 -0.0447753 0.0109354 0.00800583 -0.0410166 -0.0183587 -0.0386914 0.00360554 0.0167555 0.00955177 0.00865262 0.0216144 -0.0217754 -0.00234888 -0.00102451 0.0242022 0.0152239 -0.0406609 0.0193409 -0.0234863 -0.00664157 -0.0369698 -0.00173839 -0.0264419 0.0422012 0.00324334 0.00852374 0.0182815 0.0188538 0.0268441 0.000124491 0.00789908 -0.00286453 0.0005763 0.0040601 0.0369921 0.0434705 -0.00739607 -0.0127099 -0.0021168 -0.00780433 -0.0127057 0.00537976 -0.00990112 -0.0271664 0.0474076 0.0397757 -3.38682e-05 -0.0232151 0.0783552 -0.0133184 0.0562311 -0.0356536 0.00240936 -0.0223017 0.0192309 0.00437461 0.0100311 0.0252887 0.033024 -0.00700285 -0.00741146 -0.023466 0.0115933 -0.00540614 0.0385826 0.00607785 0.0511536 -0.0058107 -0.00353476 0.0383974 0.0495768
a	 -0.0106909 -0.00616189 -0.0296889 0.0293635 0.0375152 0.0366284 0.0158381 -0.0247997 -0.00465409 0.0327324 0.0182999 0.0848847 0.00385047 0.0540555 -0.0281353 -0.0284303 -0.00283255 0.0225301 0.046448 -0.00273812 0.00544901 0.0207474 0.0298688 0.022661 0.0100116 0.0276319 0.0830458 0.00206596 -0.00463918 -0.0417031 -0.0294303 0.00992947 -0.0155279 -0.00580822 -0.0118357 0.0183946 -0.00949956 0.0152031 0.0169948 0.0562665 0.0126495 0.03505 0.0171005 -0.0322362 -0.0475889 0.0121622 0.028504 0.0152123 0.0402034 -0.0065648 0.00948654 -0.0119568 -0.0185859 0.0125062 -0.0240216 0.0318586 0.0269642 0.00864375 0.0456686 0.0511824 0.0413606 0.0417704 0.0113268 0.0263506 0.0223981 -0.00772854 0.027361 -0.0271725 -0.0584762 0.00902952 0.0261637 0.0276403 0.1151 0.00590564 -0.0417391 -0.0175872 0.00126874 -0.0026934 0.052892 -0.0213815 0.0332831 0.0457176 -0.0134347 0.037176 0.0625438 -0.018512 0.027551 0.0331082 0.0360364 -0.00743301 0.0131113 0.0555467 -0.0147391 0.0145277 -0.0382594 -0.0102711 0.0280256 -0.00592845 0.00297792 -0.00175045 0.0715229 0.0253102 0.0152341 0.0518594 -0.00528306 -0.0108585 -0.000333344 0.049712 -0.0843985 0.0286922 -0.0448053 0.00340951 0.069824 0.0406049 0.034423 0.00995927 -0.0152162 -0.00753411 -0.0368114 0.00432883 -6.09879e-05 0.00326455 -0.0265418 0.0449077 0.0188533 0.0619145 0.0419225 0.00263205
is	 -0.0240518 0.00991967 -0.0170451 0.0247178 0.0161394 0.0358797 0.0225547 -0.0258713 0.0110578 0.0274664 0.021399 0.0590765 0.00767213 0.0379623 -0.0168063 -0.0120368 -0.0120638 0.00955682 0.0255961 -0.011452 0.0065731 0.010665 0.011751 0.0285609 -0.00471254 0.0159337 0.0561071 -0.00283338 -0.00519345 -0.0224361 -0.0250719 0.0201364 -0.0342454 -0.00291383 0.00389895 0.015033 1.68206e-05 0.00771615 0.00910057 0.0268572 0.00867244 0.0321869 0.0041213 -0.0326341 -0.0169009 0.00587369 0.03056 0.00806706 0.0204432 0.00195416 0.0115461 -0.00562271 -0.00248752 0.00548306 -0.0107557 0.0203564 0.0263637 -0.00672411 0.0363603 0.0223216 0.0043581 0.0345938 -0.000398289 0.0183313 0.0262164 0.00248312 0.0207269 -0.0160631 -0.044855 0.00287504 -0.00124653 0.031109 0.0711481 -0.00504336 -0.0260707 -0.0129567 0.0184087 -0.0111585 0.0578554 -0.0180249 0.0228344 0.0438671 -0.00119831 0.0204591 0.0512404 -0.00412469 0.0135214 0.00684149 0.0158854 -0.0128678 0.0213327 0.0436544 -0.0202157 0.0229498 -0.0212172 0.00253265 0.00892809 0.013909 -0.00544743 -0.00842816 0.0387796 0.0376496 0.0169682 0.0506248 0.00080176 0.009928 0.00810545 0.0545888 -0.0694608 0.0245633 -0.0165346 0.0144938 0.0607926 0.0204009 0.0114173 0.0351648 -0.00177887 -0.00298761 -0.0264093 -0.00887878 0.00288116 0.00293653 -0.0152242 0.0383047 0.00212079 0.0540483 0.0237697 0.00520578
what	 -0.0278648 -0.042988 -0.0845261 -0.0440038 0.0817354 -0.0956546 0.0726267 -0.0690452 -0.0908276 0.0349154 0.0975766 0.162618 -0.0249732 0.172189 -0.0577724 -0.014095 0.0375557 0.0812373 0.0526961 -0.0218552 -0.00536911 -0.0288613 0.0842617 0.0214783 -0.00951121 0.0325322 0.0902458 0.00288012 -0.0233152 -0.100744 -0.0200984 -0.0177509 -0.0361705 0.0309502 -0.158817 -0.00717319 -0.0542025 0.0324085 0.0315378 0.148191 0.0172066 0.159793 0.0586235 -0.0725189 -0.156693 0.0277657 0.00398261 -0.000554071 0.0411211 0.00820036 -0.0161076 0.0309764 -0.0106904 0.152043 -0.0714763 0.137328 0.04996 0.124906 0.12702 0.0879294 0.177286 0.124648 0.113301 0.0952328 0.0192346 -0.0870118 0.0975824 -0.125487 -0.112901 0.024343 0.0853867 0.0255934 0.260351 0.134318 -0.120433 0.0255523 0.0854696 0.117632 0.156817 0.0293117 0.028029 0.134739 -0.0345394 0.0991959 0.140534 -0.0734308 0.0841374 0.0222409 0.105649 -0.0796153 -0.0111544 0.0156696 -0.180582 0.0326334 -0.104211 -0.0469921 0.0428977 0.0421121 0.0304239 0.0406416 0.21019 -0.0259627 -0.0590453 0.0983152 0.0860942 -0.181225 0.0114675 0.0196953 -0.165224 0.0791635 -0.031266 -0.0672395 0.156412 0.0306533 -0.0120051 -0.0261556 -0.00844457 0.0116177 -0.00981338 -0.064068 -0.0223536 -0.0890119 -0.0983534 0.00863333 0.0198465 0.191244 0.0822421 -0.116014
